"card_id","card_name","set_id","price_euros","rarity","artist"
"base1-1","Alakazam","base1",0,"Rare Holo","Ken Sugimori"
"base1-10","Mewtwo","base1",92.5,"Rare Holo","Ken Sugimori"
"base1-11","Nidoking","base1",102.5,"Rare Holo","Ken Sugimori"
"base1-12","Ninetales","base1",18.68,"Rare Holo","Ken Sugimori"
"base1-13","Poliwrath","base1",15.93,"Rare Holo","Ken Sugimori"
"base1-14","Raichu","base1",150,"Rare Holo","Ken Sugimori"
"base1-15","Venusaur","base1",525,"Rare Holo","Mitsuhiro Arita"
"base1-16","Zapdos","base1",26.03,"Rare Holo","Ken Sugimori"
"base1-17","Beedrill","base1",0,"Rare","Ken Sugimori"
"base1-18","Dragonair","base1",37.49,"Rare","Mitsuhiro Arita"
"base1-19","Dugtrio","base1",6.24,"Rare","Keiji Kinebuchi"
"base1-2","Blastoise","base1",77.67,"Rare Holo","Ken Sugimori"
"base1-20","Electabuzz","base1",4.65,"Rare","Ken Sugimori"
"base1-21","Electrode","base1",9.45,"Rare","Keiji Kinebuchi"
"base1-22","Pidgeotto","base1",0,"Rare","Ken Sugimori"
"base1-3","Chansey","base1",22.7,"Rare Holo","Ken Sugimori"
"base1-4","Charizard","base1",0,"Rare Holo","Mitsuhiro Arita"
"base1-5","Clefairy","base1",19.31,"Rare Holo","Ken Sugimori"
"base1-6","Gyarados","base1",13.25,"Rare Holo","Mitsuhiro Arita"
"base1-7","Hitmonchan","base1",47,"Rare Holo","Ken Sugimori"
"base1-8","Machamp","base1",46.47,"Rare Holo","Ken Sugimori"
"base1-9","Magneton","base1",17.77,"Rare Holo","Keiji Kinebuchi"
"base2-1","Clefable","base2",0,"Rare Holo","Mitsuhiro Arita"
"base2-10","Scyther","base2",24.09,"Rare Holo","Ken Sugimori"
"base2-11","Snorlax","base2",23.97,"Rare Holo","Ken Sugimori"
"base2-12","Vaporeon","base2",12.58,"Rare Holo","Kagemaru Himeno"
"base2-13","Venomoth","base2",14.21,"Rare Holo","Ken Sugimori"
"base2-14","Victreebel","base2",16,"Rare Holo","Ken Sugimori"
"base2-15","Vileplume","base2",14.99,"Rare Holo","Keiji Kinebuchi"
"base2-16","Wigglytuff","base2",21.27,"Rare Holo","Mitsuhiro Arita"
"base2-17","Clefable","base2",5.43,"Rare","Mitsuhiro Arita"
"base2-18","Electrode","base2",4.47,"Rare","Mitsuhiro Arita"
